Michel Abdalla (ENS & CNRS, France)
Man Ho Au (The Hong Kong Polytechnic University, Hong Kong)
Joonsang Baek (University of Wollongong, Australia) 
Alex Biryukov (University of Luxembourg, Luxembourg)
Pino Caballero-Gil (University of La Laguna, Spain)
Alvaro Cardenas (University of Texas at Dallas, USA)
Xiaofeng Chen (Xidian University, China)
Liqun Chen (University of Surrey, UK)
Sherman S. M. Chow (The Chinese University of Hong Kong, Hong Kong)
Mauro Conti (University of Padua, Italy)
Robert Deng (Singapore Management University, Singapore)
Xuhua Ding (Singapore Management University, Singapore)
Benjamin Dowling (Royal Holloway University of London,UK)
Sara Foresti (Università degli Studi di Milano, Italy)
Debin Gao (Singapore Management University, Singapore)
Joaquin Garcia-Alfaro (Telecom SudParis, France)
Maria Isabel Gonzalez Vasco (Universidad Rey Juan Carlos, Spain)
Shoichi Hirose (University of Fukui, Japan)
Xinyi Huang (Fujian Normal University, China)
Stefan Katzenbeisser (TU Darmstadt, Germany)
Hiroaki Kikuchi (Meiji University, Japan)
Mirosław Kutyłowski (Wrocław University of Science and Technology, Poland)
Junzuo Lai (Jinan University, China)
Yingjiu Li (Singapore Management University, Singapore)
Shujun Li (University of Kent, UK)
Joseph Liu (Monash University, Australia)
Javier Lopez (University of Malaga, Spain)
Di Ma (University of Michigan, USA)
Mark Manulis (University of Surrey, UK)
Takahiro Matsuda (National Institute of Advanced Industrial Science and Technology, Japan)
Sjouke Mauw (University of Luxembourg, Luxembourg)
Martín Ochoa (Universidad del Rosario, Colombia)
Panos Papadimitratos (KTH Royal Institute of Technology, Sweden)
Thomas Peters (Université catholique de Louvain, Belgium)
Bertram Poettering (Royal Holloway, University of London, UK)
Christina Pöpper (New York University Abu Dhabi, UAE)
Zhan Qin (State University of New York at Buffalo, USA)
Ruben Rios (University of Malaga, Spain)
Francisco Rodríguez Henríquez (CINVESTAV-IPN, Mexico)
Sushmita Ruj (Indian Statistical Institute, India)
Giovanni Russello (The University of Auckland, New Zealand)
Chunhua Su (University of Aizu, Japan)
Hung-Min Sun (National Tsing Hua University, Taiwan)
Qiang Tang (Cornell University, USA)
Juan Tapiador (Universidad Carlos III de Madrid, Spain)
Nils Ole Tippenhauer (CISPA, Germany)
Cong Wang (City University of Hong Kong, Hong Kong)
Jian Weng (Jinan University, China)
Qianhong Wu (Beihang University, China)
Toshihiro Yamauchi (Okayama University, Japan)
Guomin Yang (University of Wollongong, Australia)
Tsz Hon Yuen (The University of Hong Kong, Hong Kong)
Moti Yung (Google and Columbia University, USA)
Santiago Zanella-Béguelin (Microsoft Research, UK)
Kehuan Zhang (The Chinese University of Hong Kong, Hong Kong)
Jianying Zhou (Singapore University of Technology and Design, Singapore)
