Program Committee/Editorial Board
Sonia Belaïd, CryptoExperts, FR
Luk Bettale, IDEMIA, FR
Begül Bilgin, Rambus, NL
Joppe W. Bos, NXP Semiconductors, BE
Billy Brumley, Tampere University, FI
Chen-Mou Cheng, Osaka University & Kanazawa University, JP
Tung Chou, Osaka University, JP
Chitchanok Chuengsatiansup, University of Adelaide, AU
Christophe Clavier, Universitá de Limoges, FR
Elke De Mulder, Rambus, US
Yunsi Fei, Northeastern University, US
Viktor Fischer, Jean Monnet University, Saint-Étienne, FR
Wieland Fischer, Infineon Technologies, DE
Fatemeh Ganji, University of Florida, US
Daniel Genkin, University of Michigan, US
Benoit Gerard, Univ Rennes & Direction Gánárale de l'Armement, FR
Benedikt Gierlichs, KU Leuven, BE
Hannes Groß, SGS Digital Trust Services, AT
Daniel Gruss, Graz University of Technology, AT
Jorge Guajardo , Robert Bosch LLC, US
Annelie Heuser, Univ Rennes, Inria, CNRS, IRISA, FR
Dan Holcomb, University of Massachusetts Amherst, US
Kimmo U. Järvinen, University of Helsinki, FI
Marc Joye, OneSpan, BE
Naghmeh Karimi, University of Maryland- Baltimore County, US
Stefan Katzenbeisser, University of Passau, DE
Tancrède Lepoint, Google, US
Yang Li, University of Electro-Communications, CN
Victor Lomná, NinjaLab, FR
Julio López Hernandez, University of Campinas, BR
Roel Maes, Intrinsic ID, NL
Bart Mennink, Radboud University, NL
Kazuhiko Minematsu, NEC corporation, JP
Atsuko Miyaji, Osaka University, JP
Amir Moradi, Ruhr University Bochum, DE
Debdeep Mukhopadhyay, Indian Institute of Technology Kharagpur, IN
Svetla Nikova, KU Leuven, BE
Daniel Page, University of Bristol, UK
Peter Pessl, Graz University of Technology, AT
Thomas Peyrin, Nanyang Technological University, SG
Thomas Poeppelmann, Infineon Technologies, DE
Thomas Pornin, NCC Group, CA
Francisco Rodríguez-Henríquez, CINVESTAV-IPN, MX
Markku-Juhani O. Saarinen, PQShield Ltd., UK
Tobias Schneider, NXP Semiconductors, AT
Peter Schwabe, Radboud University, NL
Sergei Skorobogatov, University of Cambridge, UK
Daisuke Suzuki, Mitsubishi Electric, JP
Junko Takahashi, NTT Corporation, JP
Adrian Thillard, ANSSI, FR
Mehdi Tibouchi, NTT Corporation, JP
Rei Ueno, Tohoku University, JP
Srinivas Vivek, Institute of Information Technology, Bangalore, IN
Christine van Vredendaal, NXP Semiconductors, NL
Bo-Yin Yang, Academia Sinica, TW
Yuval Yarom, University of Adelaide and Data61, AU
