Manos Antonakakis, Georgia Institute of Technology, USA
Marco Balduzzi, Trend Micro Research, Italy
Leyla Bilge, Symantec Research Labs, France,
Lorenzo Cavallaro, King’s College London, UK
Gabriela Ciocarlie, SRI International, USA
Baris Coskun, Amazon Web Services, USA
Lorenzo De Carli, Worcester Polytechnic Institute, USA
Hervé Debar, Télécom SudParis, France
Sven Dietrich, City University of New York, USA
Brendan Dolan-Gavitt, NYU, USA
Adam Doupé, Arizona State University, USA
Manuel Egele, Boston University, USA
Ulrich Flegel, Infineon Technologies AG, Germany
Yanick Fratantonio, Eurecom, France
Giorgio Giacinto, University of Cagliari, Italy
Neil Gong, Iowa State University, USA
Thorsten Holz, Ruhr-Universität Bochum, Germany
Kyu Hyung Lee, University of Georgia, USA
Sotiris Ioannidis, FORTH, Greece
Vasileios Kemerlis, Brown University, USA
Katharina Krombholz, CISPA Helmholtz Center (i.G.), Germany
Andrea Lanzi, University of Milan, Italy
Corrado Leita, Lastline, UK
Zhiqiang Lin, Ohio State University, USA
Martina Lindorfer, TU Wien, Austria
Xiapu Luo, The Hong Kong Polytechnic University, HK
Federico Maggi, Trend Micro Research, Italy
Michael Meier, University of Bonn and Fraunhofer FKIE, Germany
Jelena Mirkovic, USC ISI, USA
Nick Nikiforakis, Stony Brook University, USA
Anita Nikolich, Illinois Institute of Technology, USA
Daniela Oliveira, University of Florida, USA
Christina Poepper, New York University Abu Dhabi, UAE
Georgios Portokalidis, Stevens Institute of Technology, USA
Christian Rossow, CISPA Helmholtz Center i.G., Germany
Deborah Shands, SRI International, USA
Kapil Singh, IBM T.J. Watson Research Center, USA
Gianluca Stringhini, Boston University, USA
Juan Tapiador, Universidad Carlos III, Spain
Heng Yin, University of California Riverside, USA
Stefano Zanero, Politecnico di Milano, Italy
