Elias Athanasopoulos (University of Cyprus, Cyprus)
Foteini Baldimtsi (George Mason University, USA)
Alex Chepurnoy (IOHK, USA and Ergo Platform, Russia)
Sherman Chow (Chinese University of Hong Kong, Hong Kong)
Dana Dachman-Soled (University of Maryland, USA)
Lucas Davi (University of Duisburg-Essen, Germany)
Brendan Dolan-Gavitt (New York University, USA)
Sanjam Garg (UC Berkeley, USA)
André Grégio (Federal University of Parana, Brazil)
Dimitris Papadopoulos (HKUST, Hong Kong)
Esha Ghosh (Microsoft Research, USA)
Alexandros Kapravelos (NC State University, USA)
Vasileios Kemerlis (Brown University, USA)
Evgenios Kornaropoulos (Brown University, USA)
Alp Kupcu (Koc University, Turkey)
Andrea Lanzi (University of Milan, Italy)
Juanru Li (Shanghai Jiaotong University, China)
Xiapu Luo (Hong Kong Polytechnic University, Hong Kong)
Alex Malozemoff (Galois, Inc, USA)
Masahiro Mambo (Kanazawa University, Japan)
Mark Manulis (University of Surrey, UK)
Daniel Masny (Visa Research, USA)
Kartik Nayak (VMware Research, USA)
Nick Nikiforakis (Stony Brook University, USA )
Giancarlo Pellegrino (Stanford University, USA and CISPA, Germany)
Mike Reiter (University of North Carolina at Chapel Hill, USA)
Brendan Saltaformaggio (Georgia Tech, USA)
Roberto Tamassia (Brown University, USA)
Nikos Triandopoulos (Stevens Institute of Technology, USA)
Xinyu Xing (Penn State University, USA)
Arkady Yerukhimovich (George Washington University, USA)
Yu Yu (Shanghai Jiaotong University, China)
Moti Yung (Columbia University, USA)
Cong Wang (City University of Hong Kong, Hong Kong)
Ding Wang (Peking University, China)
Ruoyu (Fish) Wang (Arizona State University, USA )
Xiao Wang (MIT and Boston University, USA)
Yupeng Zhang (UC Berkeley, USA)
Yajin Zhou (Zhejiang University, China)
Jianying Zhou (Singapore University of Technology and Design, Singapore)
Vassilis Zikas (University of Edinburgh, UK)
