Ahmad-Reza Sadeghi, TU Darmstadt
Dongyan Xu, Purdue University
Adam Aviv, The George Washington University
Adam Bates, University of Illinois at Urbana-Champaign
Adam Doupe, Arizona State University
Adwait Nadkarni, William & Mary
Alexandra Dmitrienko, University of Würzburg
Amir Houmansadr, University of Massachusetts-Amherst
Andrew Paverd, Microsoft Research
Antonio Bianchi, Purdue University
Anupam Das, North Carolina State University
Ben Stock, CISPA Helmholtz Center for Information Security
Benny Pinkas, VMware Research, Bar Ilan University
Bimal Viswanath, Virginia Tech
Blase Ur, University of Chicago
Brad Reaves, North Carolina State University
Brendan Dolan-Gavitt, NYU
Brendan Saltaformaggio, Georgia Institute of Technology
Brent ByungHoon Kang, KAIST
Bryan Parno, Carnegie Mellon University
Byoungyoung Lee, Seoul National University
Carmela Troncoso, EPFL
Carrie Gates, Bank of America
Chris Kanich, University of Illinois at Chicago
Christina Garman, Purdue University
Christina Poepper, New York University Abu Dhabi
Christopher Liebchen, Google
Cristina Nita-Rotaru, Northeastern University
David Lie, University of Toronto
Davide Balzarotti, EURECOM
Earlence Fernandes, University of Wisconsin-Madison
Emiliano De Cristofaro, University College London (UCL)
Engin Kirda, Northeastern University
Farinaz Koushanfar, University of California San Diego
Gang Tan, Pennsylvania State University
Gang Wang, Virginia Tech
Gene Tsudik, University of California Irvine (UCI)
Guofei Gu, Texas A&M University
Haibo Chen, Shanghai Jiao Tong University
Hamed Okhravi, MIT Lincoln Lab
Ivan Martinovic, Oxford University
Jack Stokes, Microsoft Research
Jeremiah Blocki, Purdue University
Jon McCune, Google
Juan Caballero, IMDEA Software Institute
Kevin Butler, University of Florida
Kevin Hamlen, University of Texas at Dallas
Konrad Rieck, TU Braunschweig
Kun Sun, George Mason University
Lejla Batina, Radboud University
Limin Jia, Carnegie Mellon University
Long Lu, Northeastern University
Lucas Davi, University of Duisburg-Essen
Luyi Xing, Indiana University Bloomington
Manuel Egele, Boston University
Marcus Peinado, Microsoft Research
Mathias Payer, EPFL
Matt Fredrikson, Carnegie Mellon University
Mauro Conti, University of Padua
Micah Sherr, Georgetown University
Michelle Mazurek, University of Maryland
Mihai Christodorescu, Visa Research
Neil Gong, Duke University
Nele Mentens, KU Leuven
Nick Nikiforakis, Stony Brook University
Panos Papadimitratos, KTH Royal Institute of Technology
Patrick Traynor, University of Florida
Per Larsen, University of California Irvine and Immunant, Inc.
Qi Li, Tsinghua University
Rosario Cammarota, Intel
Saman Zonouz, Rutgers University
Sebastian Faust, TU Darmstadt
Selcuk Uluagac, Florida International University
Srdjan Capkun, ETH Zurich
Stefan Katzenbeisser, University of Passau
Stefanie Roos, TU Delft
Stephen McCamant, University of Minnesota
Suman Jana, Columbia University
Taesoo Kim, Georgia Institute of Technology
Thomas Schneider, TU Darmstadt
Thorsten Holz, Ruhr-University Bochum
Tiffany Bao, Arizona State University
Trent Jaeger, Pennsylvania State University
Tudor Dumitras, University of Maryland
Vinod Ganapathy, Indian Institute of Science
Wenyuan Xu, Zhejiang University
William Enck, North Carolina State University
Xiaojing Liao, Indiana University Bloomington
Yinqian Zhang, Ohio State University
Yongdae Kim, KAIST
Yonghwi Kwon, University of Virginia
Yossef Oren, Ben-Gurion University of the Negev
Yuan Tian, University of Virginia
Zhenkai Liang, National University of Singapore
Zhiqiang Lin, Ohio State University
Zhiyun Qian, University of California, Riverside
Zhou Li, University Of California Irvine
