Kevin Borgolte	Princeton University
Lorenzo Cavallaro	King's College London
Kai Chen	Institute of Information Engineering, Chinese Academy of Sciences
Adrian Dabrowski	UC Irvine
Sanjeev Das	University of North Carolina at Chapel Hill
Martin Degeling	Ruhr University Bochum
Tudor A. Dumitraș	University of Maryland
Carrie Gates	Bank of America
Guofei Gu	Texas A&M University
Johannes Kinder	Bundeswehr University Munich
Engin Kirda	Northeastern University
Katharina Krombholz	CISPA
Andrea Lanzi	University of Milan
Tim Leek	MIT Lincoln Laboratory
Corrado Leita	Lastline
Wojciech Mazurczyk	Warsaw University of Technology
Jelena Mirkovic	USC-ISI
Nick Nikiforakis	Stony Brook University
Rishab Nithyanand	University of Iowa
Paul Pearce	Georgia Tech / Facebook
Roberto Perdisci	University of Georgia
Jason Polakis	University of Illinois at Chicago
Michalis Polychronakis	Stony Brook University
Kaveh Razavi	Vrije Universiteit Amsterdam
Konrad Rieck	TU Braunschweig
William Robertson	Northeastern University
Christian Rossow	CISPA
Ahmad Sadeghi	TU Darmstadt
Brendan Saltaformaggio	Georgia Institute of Technology
Angelos Stavrou	George Mason University
Kurt Thomas	Google
Stijn Volckaert	KU Leuven
Zack Weinberg	Carnegie Mellon University
Michael Weissbacher	Square Inc.
Dongpen Xu	University of New Hampshire
Chao Zhang	Tsinghua University
