Yasemin Acar, Leibniz University Hannover
Devdatta Akhawe, Dropbox, Inc.
Ben Andow, IBM T.J. Watson Research Center
Adam Aviv, United States Naval Academy
Michael Bailey, University of Illinois at Urbana-Champaign
Adam Bates, University of Illinois at Urbana–Champaign
Lejla Batina, Radboud University
Lujo Bauer, Carnegie Mellon University
Nikita Borisov, University of Illinois at Urbana–Champaign
Herbert Bos, Vrije Universiteit Amsterdam
Sven Bugiel, Helmholtz Center for Information Security (CISPA)
Kevin Butler, University of Florida
Joe Calandrino, Federal Trade Commission
Stefano Calzavara, Università Ca' Foscari Venezia
Yinzhi Cao, Johns Hopkins University
Lorenzo Cavallaro, King's College London
Stephen Checkoway, Oberlin College
William Cheswick, University of Pennsylvania
Cas Cremers, Helmholtz Center for Information Security (CISPA)
Nathan Dautenhahn, Rice University
Lucas Davi, Universität Duisburg-Essen
Emiliano De Cristofaro, University College London
Adam Doupé, Arizona State University
Thomas Dullien, optimyze.cloud AG
Zakir Durumeric, Stanford University
Manuel Egele, Boston University
William Enck, North Carolina State University
David Evans, University of Virginia
Sascha Fahl, Leibniz University Hannover
Giulia Fanti, Carnegie Mellon University
Nick Feamster, University of Chicago
Earlence Fernandes, University of Washington
Aurélien Francillon, EURECOM
David Freeman, Facebook
Kevin Fu, University of Michigan
Siddharth Garg, New York University
Carrie Gates, Bank of America
Daniel Genkin, University of Michigan
Matthew Green, Johns Hopkins University
Rachel Greenstadt, New York University
Daniel Gruss, Graz University of Technology
Xiali (Sharon) Hei, University of Louisiana at Lafayette
Thorsten Holz, Ruhr-Universität Bochum
Trent Jaeger, The Pennsylvania State University
Rob Jansen, U.S. Naval Research Laboratory
Mobin Javed, Lahore University of Management Sciences
Ari Juels, Cornell Tech
Apu Kapadia, Indiana University
Aniket Kate, Purdue
Vasileios Kemerlis, Brown University
Yongdae Kim, Korea Advanced Institute of Science and Technology (KAIST)
Engin Kirda, Northeastern University
Tadayoshi Kohno, University of Washington
Farinaz Koushanfar, University of California San Diego
Katharina Krombholz, Helmholtz Center for Information Security (CISPA)
Mathias Lecuyer, Columbia University
Tancrède Lepoint, Google
Frank Li, Facebook/Georgia Institute of Technology
Martina Lindorfer, Technische Universität Wien
Long Lu, Northeastern University
Matteo Maffei, Technische Universität Wien
Stefan Mangard, Graz University of Technology
Ivan Martinovic, University of Oxford
Clémentine Maurice, IRISA
René Mayrhofer, Johannes Kepler Universität Linz
Damon McCoy, New York University
Jon McCune, Google
Patrick McDaniel, The Pennsylvania State University
Sarah Meiklejohn, University College London
Jelena Mirkovic, USC/Information Sciences Institute
Esfandiar Mohammadi, University of Lübeck
Veelasha Moonsamy, Radboud University
Anita Nikolich, Illinois Institute of Technology
Guevara Noubir, Northeastern University
Nils Ole Tippenhauer, Helmholtz Center for Information Security (CISPA)
Yossi Oren, Ben-Gurion University of the Negev
Nicolas Papernot, University of Toronto
Kenny Paterson, ETH Zurich
Mathias Payer, École Polytechnique Fédérale de Lausanne (EPFL)
Paul Pearce, Georgia Institute of Technology
Giancarlo Pellegrino, Stanford University and Helmholtz Center for Information Security (CISPA)
Adrian Perrig, ETH Zurich
Christina Poepper, New York University Abu Dhabi
Jason Polakis, University of Illinois at Chicago
Adrienne Porter Felt, Google
Niels Provos, Stripe
Amir Rahmati, Stony Brook University
Aanjhan Ranganathan, Northeastern University
Kaveh Razavi, Vrije Universiteit Amsterdam
Bradley Reaves, North Carolina State University
Elissa Redmiles, Princeton University
Konrad Rieck, Technische Universität Braunschweig
Ahmad-Reza Sadeghi, Technische Universität Darmstadt
Nolen Scaife, University of Florida
Wendy Seltzer, W3C and Massachusetts Institute of Technology
Huasong Shan, JD.com Silicon Valley R&D Center
Micah Sherr, Georgetown University
Deian Stefan, University of California, San Diego
Ben Stock, Helmholtz Center for Information Security (CISPA)
Gianluca Stringhini, Boston University
Yuan Tian, University of Virginia
Patrick Traynor, University of Florida
Carmela Troncoso, École Polytechnique Fédérale de Lausanne (EPFL)
Gene Tsudik, University of California, Irvine
Blase Ur, University of Chicago
Ingrid Verbauwhede, Katholieke Universiteit Leuven
Bimal Viswanath, Virginia Polytechnic Institute and State University
David Wagner, University of California, Berkeley
Byron J. Williams, University of Florida
Xinyu Xing, The Pennsylvania State University
Wenyuan Xu, Zhejiang University
Yuval Yarom, University of Adelaide and Data61
Daniel Zappala, Brigham Young University
Mary Ellen Zurko, MIT Lincoln Laboratory
Steering Committee
Matt Blaze, Georgetown University
Dan Boneh, Stanford University
William Enck, North Carolina State University
Kevin Fu, University of Michigan
Casey Henderson, USENIX Association
Nadia Heninger, University of California, San Diego
Thorsten Holz, Ruhr-Universität Bochum
Jaeyeon Jung, Samsung Electronics
Engin Kirda, Northeastern University
Tadayoshi Kohno, University of Washington
Thomas Ristenpart, Cornell Tech
Patrick Traynor, University of Florida
David Wagner, University of California, Berkeley
